base_seed,problem_id,fp16_correct,base_correct,random25_correct,causal25_correct,causal_win_random_loss,random_win_causal_loss,tie_random_causal,base_wrong_random_wrong_causal_correct,base_wrong_random_correct_causal_correct,base_correct_random_wrong_causal_correct,base_correct_random_correct_causal_wrong
42,0,True,True,True,True,False,False,True,False,False,False,False
42,1,True,False,False,False,False,False,True,False,False,False,False
42,2,False,False,False,False,False,False,True,False,False,False,False
42,3,False,False,False,False,False,False,True,False,False,False,False
42,4,False,False,False,True,True,False,False,True,False,False,False
42,5,True,False,False,True,True,False,False,True,False,False,False
42,6,True,True,True,True,False,False,True,False,False,False,False
42,7,True,True,True,True,False,False,True,False,False,False,False
42,8,True,True,True,True,False,False,True,False,False,False,False
42,9,True,True,True,True,False,False,True,False,False,False,False
42,10,False,False,False,False,False,False,True,False,False,False,False
42,11,True,True,True,True,False,False,True,False,False,False,False
42,12,True,True,True,True,False,False,True,False,False,False,False
42,13,False,False,False,False,False,False,True,False,False,False,False
42,14,False,False,True,False,False,True,False,False,False,False,False
42,15,False,True,False,False,False,False,True,False,False,False,False
42,16,True,False,False,True,True,False,False,True,False,False,False
42,17,False,False,False,True,True,False,False,True,False,False,False
42,18,True,False,True,True,False,False,True,False,True,False,False
42,19,True,True,True,False,False,True,False,False,False,False,True
42,20,False,False,False,True,True,False,False,True,False,False,False
42,21,False,False,False,False,False,False,True,False,False,False,False
42,22,True,False,False,False,False,False,True,False,False,False,False
42,23,False,True,False,True,True,False,False,False,False,True,False
42,24,True,True,False,True,True,False,False,False,False,True,False
42,25,False,False,False,False,False,False,True,False,False,False,False
42,26,True,False,True,False,False,True,False,False,False,False,False
42,27,True,False,False,True,True,False,False,True,False,False,False
42,28,False,False,False,False,False,False,True,False,False,False,False
42,29,False,False,False,False,False,False,True,False,False,False,False
43,0,False,False,False,True,True,False,False,True,False,False,False
43,1,True,False,False,False,False,False,True,False,False,False,False
43,2,False,False,False,False,False,False,True,False,False,False,False
43,3,False,False,False,False,False,False,True,False,False,False,False
43,4,False,False,False,False,False,False,True,False,False,False,False
43,5,True,False,False,False,False,False,True,False,False,False,False
43,6,False,False,True,False,False,True,False,False,False,False,False
43,7,True,True,True,True,False,False,True,False,False,False,False
43,8,True,True,True,True,False,False,True,False,False,False,False
43,9,True,True,True,True,False,False,True,False,False,False,False
43,10,False,False,False,False,False,False,True,False,False,False,False
43,11,True,True,False,True,True,False,False,False,False,True,False
43,12,True,True,False,True,True,False,False,False,False,True,False
43,13,False,False,False,True,True,False,False,True,False,False,False
43,14,False,False,False,False,False,False,True,False,False,False,False
43,15,True,False,True,False,False,True,False,False,False,False,False
43,16,False,False,True,True,False,False,True,False,True,False,False
43,17,False,False,True,False,False,True,False,False,False,False,False
43,18,True,True,True,True,False,False,True,False,False,False,False
43,19,False,True,True,True,False,False,True,False,False,False,False
43,20,False,False,False,False,False,False,True,False,False,False,False
43,21,False,False,False,False,False,False,True,False,False,False,False
43,22,True,True,False,True,True,False,False,False,False,True,False
43,23,False,False,True,True,False,False,True,False,True,False,False
43,24,True,True,True,True,False,False,True,False,False,False,False
43,25,True,False,False,False,False,False,True,False,False,False,False
43,26,False,True,False,True,True,False,False,False,False,True,False
43,27,True,False,False,True,True,False,False,True,False,False,False
43,28,False,False,False,False,False,False,True,False,False,False,False
43,29,False,False,False,False,False,False,True,False,False,False,False
44,0,True,False,True,True,False,False,True,False,True,False,False
44,1,False,False,False,False,False,False,True,False,False,False,False
44,2,False,False,False,False,False,False,True,False,False,False,False
44,3,False,False,False,False,False,False,True,False,False,False,False
44,4,True,True,True,True,False,False,True,False,False,False,False
44,5,False,True,False,True,True,False,False,False,False,True,False
44,6,True,True,True,False,False,True,False,False,False,False,True
44,7,True,True,True,True,False,False,True,False,False,False,False
44,8,True,True,True,True,False,False,True,False,False,False,False
44,9,True,True,True,True,False,False,True,False,False,False,False
44,10,True,False,False,False,False,False,True,False,False,False,False
44,11,True,False,False,True,True,False,False,True,False,False,False
44,12,True,True,True,True,False,False,True,False,False,False,False
44,13,False,False,False,False,False,False,True,False,False,False,False
44,14,False,False,False,True,True,False,False,True,False,False,False
44,15,False,False,False,False,False,False,True,False,False,False,False
44,16,False,True,False,False,False,False,True,False,False,False,False
44,17,False,True,False,True,True,False,False,False,False,True,False
44,18,True,False,True,True,False,False,True,False,True,False,False
44,19,True,False,True,True,False,False,True,False,True,False,False
44,20,False,False,True,True,False,False,True,False,True,False,False
44,21,False,False,False,False,False,False,True,False,False,False,False
44,22,True,False,True,False,False,True,False,False,False,False,False
44,23,True,False,True,False,False,True,False,False,False,False,False
44,24,True,True,True,True,False,False,True,False,False,False,False
44,25,False,False,True,False,False,True,False,False,False,False,False
44,26,True,True,False,False,False,False,True,False,False,False,False
44,27,True,False,False,False,False,False,True,False,False,False,False
44,28,False,False,False,False,False,False,True,False,False,False,False
44,29,False,False,False,False,False,False,True,False,False,False,False
